feeder,band,band_priority,committed_hours_per_day,primary_business_units,cap_oct,cap_nov,cap_dec,cap_mean,cap_total_q4,cap_for_weight,cap_imputed_flag,demand_weight,avg_interruptions_per_day,avg_interruption_duration_hours,avg_response_time_calls_hours,avg_response_time_complaints_hours,in_myto,in_caps_oct,in_caps_nov,in_caps_dec,months_present,band_myto,band_oct,business_units_oct,n_bus_oct,band_nov,business_units_nov,n_bus_nov,band_dec,business_units_dec,n_bus_dec
11-Adekunle FajuyiINJ-T1- Isaac John,A - Bilateral,5,20.0,IKEJA BU,,,1069.0,1069.0,1069.0,1069.0,False,0.00431161736665882,,,,,False,False,False,True,1,,,,,,,,A - Bilateral,IKEJA BU,1.0
11-Adekunle FajuyiINJ-T1- Oduduwa,A - Bilateral,5,20.0,IKEJA BU,,,988.0,988.0,988.0,988.0,False,0.003984918576481678,,,,,False,False,False,True,1,,,,,,,,A - Bilateral,IKEJA BU,1.0
11-Adekunle FajuyiINJ-T1-Isaac John,A - Bilateral,5,21.0,IKEJA BU,1016.0,1047.0,,1031.5,2063.0,1031.5,False,0.004160367926761995,0.45,9.833055555555555,0.001388888888888889,9.833055555555555,True,True,True,False,2,A - Bilateral,A - Bilateral,IKEJA BU,1.0,A - Bilateral,IKEJA BU,1.0,,,
11-Adekunle FajuyiINJ-T1-Oduduwa,A - Bilateral,5,21.0,IKEJA BU,939.0,968.0,,953.5,1907.0,953.5,False,0.0038457690917765995,0.45,12.35,0.001388888888888889,12.35,True,True,True,False,2,A - Bilateral,A - Bilateral,IKEJA BU,1.0,A - Bilateral,IKEJA BU,1.0,,,
11-Adeniyi JonesINJ-T1- Adeniyi Jones,A,5,20.0,IKEJA BU,,,1000.0,1000.0,1000.0,1000.0,False,0.004033318397248662,,,,,False,False,False,True,1,,,,,,,,A,IKEJA BU,1.0
11-Adeniyi JonesINJ-T1-Adeniyi Jones,A,5,21.0,IKEJA BU,950.0,979.0,,964.5,1929.0,964.5,False,0.003890135594146335,5.72,8.451944444444443,0.016666666666666666,8.451944444444443,True,True,True,False,2,A,A,IKEJA BU,1.0,A,IKEJA BU,1.0,,,
11-AjegunleINJ-T1-Owode Onirin,A,5,21.0,,,,,,,854.1858974358973,True,0.0034452036947985637,5.72,4.988888888888889,0.016666666666666666,4.988888888888889,True,False,False,False,0,A,,,,,,,,,
11-AlimoshoINJ-T8-Alimosho,A,5,21.0,AKOWONJO BU,550.0,567.0,579.0,565.3333333333334,1696.0,565.3333333333334,False,0.002280169333911244,0.36,8.530833333333334,0.016666666666666666,8.530833333333334,True,True,True,True,3,A,B,AKOWONJO BU,1.0,B,AKOWONJO BU,1.0,B,AKOWONJO BU,1.0
11-HilltopINJ-T1-Hilltop,A - Bilateral,5,21.0,AKOWONJO BU,558.0,575.0,587.0,573.3333333333334,1720.0,573.3333333333334,False,0.002312435881089233,0.45,7.855833333333333,0.001388888888888889,7.855833333333333,True,True,True,True,3,A - Bilateral,A - Bilateral,AKOWONJO BU,1.0,A - Bilateral,AKOWONJO BU,1.0,A - Bilateral,AKOWONJO BU,1.0
11-IgbobiINJ-T3-Railway,A,5,21.0,SHOMOLU BU,673.0,694.0,708.0,691.6666666666666,2075.0,691.6666666666666,False,0.0027897118914303244,6.72,10.0,0.016666666666666666,10.0,True,True,True,True,3,A,A,SHOMOLU BU,1.0,A,SHOMOLU BU,1.0,A,SHOMOLU BU,1.0
11-IjuINJ-T2-Water Works,A,5,21.0,,,,,,,854.1858974358973,True,0.0034452036947985637,5.72,8.962499999999999,0.016666666666666666,8.962499999999999,True,False,False,False,0,A,,,,,,,,,
11-Ilupeju BypassINJ-T1- Bypass,A,5,20.0,SHOMOLU BU,,,895.0,895.0,895.0,895.0,False,0.0036098199655375525,,,,,False,False,False,True,1,,,,,,,,A,SHOMOLU BU,1.0
11-Ilupeju BypassINJ-T1- Industrial,A,5,20.0,SHOMOLU BU,,,543.0,543.0,543.0,543.0,False,0.0021900918897060236,,,,,False,False,False,True,1,,,,,,,,A,SHOMOLU BU,1.0
11-Ilupeju BypassINJ-T1- Obanikoro,A,5,20.0,SHOMOLU BU,,,857.0,857.0,857.0,857.0,False,0.0034565538664421036,,,,,False,False,False,True,1,,,,,,,,A,SHOMOLU BU,1.0
11-Ilupeju BypassINJ-T1-Bypass,A,5,21.0,SHOMOLU BU,851.0,877.0,,864.0,1728.0,864.0,False,0.003484787095222844,0.36,8.911111111111111,0.016666666666666666,8.911111111111111,True,True,True,False,2,A,A,SHOMOLU BU,1.0,A,SHOMOLU BU,1.0,,,
11-Ilupeju BypassINJ-T1-Industrial,A,5,21.0,SHOMOLU BU,516.0,532.0,,524.0,1048.0,524.0,False,0.002113458840158299,5.72,7.694444444444445,0.016666666666666666,7.694444444444445,True,True,True,False,2,A,A,SHOMOLU BU,1.0,A,SHOMOLU BU,1.0,,,
11-Ilupeju BypassINJ-T1-Obanikoro,A,5,21.0,SHOMOLU BU,815.0,839.0,,827.0,1654.0,827.0,False,0.0033355543145246434,5.72,7.279444444444445,0.016666666666666666,7.279444444444445,True,True,True,False,2,A,A,SHOMOLU BU,1.0,A,SHOMOLU BU,1.0,,,
